,postcode,locality,Long_precise,Lat_precise,distance,duration
6194,3000,MELBOURNE,144.963937,-37.8152065,139795.0,6787.4
6196,3002,EAST MELBOURNE,144.9804594,-37.8161444,137770.9,6720.7
6197,3003,WEST MELBOURNE,144.9253974,-37.8114504,143383.5,6997.7
6198,3004,MELBOURNE,144.9804594,-37.8301583,136754.8,6608.0
6199,3004,ST KILDA ROAD CENTRAL,144.976,-37.8368,136170.2,6669.9
6200,3004,ST KILDA ROAD MELBOURNE,144.976,-37.8368,136170.2,6669.9
6201,3005,WORLD TRADE CENTRE,144.953839,-37.8226739,139348.4,6744.8
6202,3006,SOUTH WHARF,144.952,-37.825,139474.8,6715.0
6203,3006,SOUTHBANK,144.957,-37.829,138607.7,6662.1
6204,3008,DOCKLANDS,144.9419122,-37.8170652,141463.7,6996.3
6205,3010,UNIVERSITY OF MELBOURNE,144.960974,-37.7983459,140468.9,7047.6
6206,3011,FOOTSCRAY,144.892357,-37.7988987,148963.3,7364.6
6207,3011,SEDDON,144.891002,-37.8055831,148394.2,7297.4
6208,3011,SEDDON WEST,144.8918846,-37.8053708,148452.4,7302.7
6209,3012,BROOKLYN,144.8465361,-37.8173492,149491.9,7273.0
6210,3012,KINGSVILLE,144.878,-37.809,147626.0,7240.3
6211,3012,KINGSVILLE WEST,144.878,-37.809,147626.0,7240.3
6212,3012,MAIDSTONE,144.878,-37.783,151563.0,7658.2
6213,3012,TOTTENHAM,144.857,-37.806,149603.1,7434.0
6214,3012,WEST FOOTSCRAY,144.8716645,-37.8006709,149070.9,7381.3
6215,3013,YARRAVILLE,144.8813738,-37.819811,146096.0,7067.2
6216,3013,YARRAVILLE WEST,144.8852384,-37.8148018,146811.9,7145.2
6217,3015,NEWPORT,144.884,-37.842,147795.5,7212.0
6218,3015,SOUTH KINGSVILLE,144.8703715,-37.8300643,146973.6,7229.7
6219,3015,SPOTSWOOD,144.8813515,-37.8292454,145952.9,7065.7
6220,3016,WILLIAMSTOWN,144.885,-37.861,150362.4,7573.7
6221,3016,WILLIAMSTOWN NORTH,144.8689963,-37.8517597,149988.5,7453.8
6222,3018,ALTONA,144.8120218,-37.8631512,155788.5,7761.0
6223,3018,SEAHOLME,144.841,-37.868,153550.1,7765.2
6224,3019,BRAYBROOK,144.8566207,-37.7903679,151971.2,7701.0
6225,3019,BRAYBROOK NORTH,144.8566207,-37.7903679,151971.2,7701.0
6226,3019,ROBINSON,144.860535,-37.793488,151080.7,7575.6
6227,3020,ALBION,144.8154448,-37.7755151,160758.5,7741.2
6228,3020,GLENGALA,144.8087985,-37.78827,159070.4,7756.3
6229,3020,SUNSHINE,144.8375652,-37.783657,155173.0,7878.9
6230,3020,SUNSHINE NORTH,144.8312453,-37.7645428,162972.9,7883.7
6231,3020,SUNSHINE WEST,144.818759,-37.7946685,155764.9,7641.0
6232,3021,ALBANVALE,144.765,-37.746,165184.2,8351.7
6233,3021,KEALBA,144.8238362,-37.7327512,165807.6,8048.6
6234,3021,KINGS PARK,144.772,-37.734,165820.5,8228.5
6235,3021,ST ALBANS,144.7999941,-37.7442306,164609.1,7991.8
6236,3022,ARDEER,144.7988921,-37.7776716,159162.1,7819.9
6237,3022,DEER PARK EAST,144.7988921,-37.7776716,159162.1,7819.9
6238,3023,BURNSIDE,144.754,-37.753,165365.6,8041.2
6239,3023,BURNSIDE HEIGHTS,144.76,-37.727,168985.6,8396.1
6240,3023,CAIRNLEA,144.7913339,-37.7578477,161024.6,7856.2
6241,3023,CAROLINE SPRINGS,144.74,-37.745,165596.8,8006.9
6242,3023,DEER PARK,144.7747728,-37.7702749,160924.0,7807.8
6243,3023,DEER PARK NORTH,144.7735655,-37.7561,162739.8,8015.6
6244,3023,RAVENHALL,144.7257546,-37.7910708,168003.5,8313.5
6245,3024,FIELDSTONE,144.649,-37.7472,175202.1,8334.1
6246,3024,MAMBOURIN,144.5964645,-37.892471,180512.9,8781.1
6247,3024,MANOR LAKES,144.582,-37.8734,178684.0,9104.1
6248,3024,MOUNT COTTRELL,144.6229115,-37.7968182,172026.9,8594.5
6249,3024,WYNDHAM VALE,144.63,-37.89,171683.4,8561.5
6250,3025,ALTONA EAST,144.8346241,-37.8388686,152104.1,7561.3
6251,3025,ALTONA GATE,144.8477003,-37.8277061,148869.7,7234.6
6252,3025,ALTONA NORTH,144.8346241,-37.8388686,152104.1,7561.3
6253,3026,DERRIMUT,144.7715559,-37.7927082,161614.1,7843.3
6254,3026,LAVERTON NORTH,144.7854874,-37.8280477,156617.2,7642.8
6255,3027,LAVERTON RAAF,144.7613154,-37.8655231,159062.1,7694.1
6256,3027,WILLIAMS LANDING,144.744,-37.8615,160988.4,7797.9
6257,3027,WILLIAMS RAAF,144.749,-37.9232,166315.0,8336.1
6258,3028,ALTONA MEADOWS,144.7775818,-37.8715626,159129.0,7767.0
6259,3028,LAVERTON,144.7704046,-37.8592043,157255.6,7704.6
6260,3028,SEABROOK,144.758,-37.876,159779.5,7796.8
6261,3029,HOPPERS CROSSING,144.6854533,-37.8629027,167396.6,8190.6
6262,3029,TARNEIT,144.6672079,-37.8091678,168814.1,8298.8
6263,3029,TRUGANINA,144.7082568,-37.8282806,162217.1,8057.9
6264,3030,CHARTWELL,144.764,-37.7935,161011.7,7803.6
6265,3030,COCOROC,144.6215012,-37.9686685,Unknown,Unknown
6266,3030,POINT COOK,144.7477259,-37.9178086,165965.0,8352.1
6267,3030,QUANDONG,144.5470351,-37.8414477,Unknown,Unknown
6268,3030,WERRIBEE,144.6641401,-37.8997995,170149.1,8190.1
6269,3030,WERRIBEE SOUTH,144.697,-37.937,172220.7,8255.9
